Date,Sleep,Wake,Hours,Rolling Average,Rolling Average
7/3/2022,2:30,9:00,6.5,7,
7/4/2022,2:00,10:00,8,7,
7/5/2022,12:00,8:00,8,7,
7/6/2022,12:00,8:20,8.33,7.388333333,
7/7/2022,12:30,8:00,7.5,7.404285714,
7/8/2022,2:00,8:30,6.5,7.404285714,
7/9/2022,3:00,9:00,6,7.261428571,
7/10/2022,3:00,10:00,7,7.332857143,
7/11/2022,12:00,8:15,8.25,7.368571429,
7/12/2022,12:20,7:40,7.33,7.272857143,
7/13/2022,12:20,7:40,7.33,7.13,
7/14/2022,11:40,8:20,8.67,7.297142857,
7/15/2022,12:40,8:30,7.83,7.487142857,
7/16/2022,2:00,9:00,7,7.63,
7/17/2022,3:00,6:00,3,7.058571429,
7/18/2022,2:00,9:00,7,6.88,
7/19/2022,2:00,9:00,7,6.832857143,
7/20/2022,1:30,6:30,5,6.5,
7/21/2022,1:30,9:00,7.5,6.332857143,
7/22/2022,2:00,8:30,6.5,6.142857143,
7/23/2022,2:00,7:30,5.5,5.928571429,
7/24/2022,1:00,10:00,9,6.785714286,
7/25/2022,11:45,8:15,8.5,7,
7/26/2022,12:00,7:30,7.5,7.071428571,
7/27/2022,12:15,7:45,7.5,7.428571429,
7/28/2022,1:30,8:30,7,7.357142857,
7/29/2022,12:30,8:30,8,7.571428571,
7/30/2022,3:30,10:30,7,7.785714286,
7/31/2022,3:30,10:45,7.25,7.535714286,
8/1/2022,2:00,8:00,6,7.178571429,
8/2/2022,12:00,7:45,7.75,7.214285714,
8/3/2022,12:30,7:45,7.25,7.178571429,
8/4/2022,1:00,8:30,7.5,7.25,
8/5/2022,12:45,8:45,8,7.25,
8/6/2022,3:30,9:30,6,7.107142857,
8/7/2022,1:30,10:00,8.5,7.285714286,
8/8/2022,12:00,7:45,7.75,7.535714286,
8/9/2022,12:30,8:30,8,7.571428571,
8/10/2022,12:00,7:45,7.75,7.642857143,
8/11/2022,12:30,8:30,8,7.714285714,
8/12/2022,1:00,8:30,7.5,7.642857143,
8/13/2022,2:00,9:00,7,7.785714286,
8/14/2022,2:30,8:30,6,7.428571429,
8/15/2022,12:00,8:30,8.5,7.535714286,
8/16/2022,12:00,7:45,7.75,7.5,
